Home, Away, Time, Date, Home Person, Away Person, Home Score, Away Score
Turkey,Italy,9:00 PM,11/06/2021,Alice,James,None,None
Wales,Switzerland,3:00 PM,12/06/2021,Harriet,Emily,None,None
Denmark,Finland,6:00 PM,12/06/2021,Arthur,Matt,None,None
Belgium,Russia,9:00 PM,12/06/2021,Linda,Cameron,None,None
England,Croatia,3:00 PM,13/06/2021,Lizzie,Cameron,None,None
Austria,North Macedonia,6:00 PM,13/06/2021,Lyric,Pete,None,None
Netherlands,Ukraine,9:00 PM,13/06/2021,Gemma,Ben,None,None
Scotland,Czech Republic,3:00 PM,14/06/2021,Matt,Guillermo,None,None
Poland,Slovakia,6:00 PM,14/06/2021,Harriet,Bill,None,None
Spain,Sweden,9:00 PM,14/06/2021,Ewan,Rebecca,None,None
Hungary,Portugal,6:00 PM,15/06/2021,Toby,Fergus,None,None
France,Germany,9:00 PM,15/06/2021,Toby,Daniel,None,None
Finland,Russia,3:00 PM,16/06/2021,Matt,Cameron,None,None
Turkey,Wales,6:00 PM,16/06/2021,Alice,Harriet,None,None
Italy,Switzerland,9:00 PM,16/06/2021,James,Emily,None,None
Ukraine,North Macedonia,3:00 PM,17/06/2021,Ben,Pete,None,None
Denmark,Belgium,6:00 PM,17/06/2021,Arthur,Linda,None,None
Netherlands,Austria,9:00 PM,17/06/2021,Gemma,Lyric,None,None
Sweden,Slovakia,3:00 PM,18/06/2021,Rebecca,Bill,None,None
Croatia,Czech Republic,6:00 PM,18/06/2021,Cameron,Guillermo,None,None
England,Scotland,9:00 PM,18/06/2021,Lizzie,Matt,None,None
Hungary,France,3:00 PM,19/06/2021,Toby,Toby,None,None
Portugal,Germany,6:00 PM,19/06/2021,Fergus,Daniel,None,None
Spain,Poland,9:00 PM,19/06/2021,Ewan,Harriet,None,None
Italy,Wales,6:00 PM,20/06/2021,James,Harriet,None,None
Switzerland,Turkey,6:00 PM,20/06/2021,Emily,Alice,None,None
Ukraine,Austria,6:00 PM,21/06/2021,Ben,Lyric,None,None
North Macedonia,Netherlands,6:00 PM,21/06/2021,Pete,Gemma,None,None
Finland,Belgium,9:00 PM,21/06/2021,Matt,Linda,None,None
Russia,Denmark,9:00 PM,21/06/2021,Cameron,Arthur,None,None
Czech Republic,England,9:00 PM,22/06/2021,Guillermo,Lizzie,None,None
Croatia,Scotland,9:00 PM,22/06/2021,Cameron,Matt,None,None
Sweden,Poland,6:00 PM,23/06/2021,Rebecca,Harriet,None,None
Slovakia,Spain,6:00 PM,23/06/2021,Bill,Ewan,None,None
Germany,Hungary,9:00 PM,23/06/2021,Daniel,Toby,None,None
Portugal,France,9:00 PM,23/06/2021,Fergus,Toby,None,None
